Fraction	Pop	freq.before	replicate	Time	evolved	well	well2	measurement	cutof	max	time	red	wt	col	row	Treatment	freq.after	Group	Ade	Structure	sample	change	freq.rat	change.nrm
T	F3	0.704265594	4	AM	TOP	F3	F03	159	3.062273355	3.719435227	0.017041734	3696	11746	3	F	AM	0.760652765	Allo	R	Allo	22	0.056387172	1.080065209	0.190668283
T	F3	0.704265594	1	AM	TOP	F3	F03	63	3.413432553	3.8	0.013324567	5413	18904	3	F	AM	0.777398528	Allo	R	Allo	22	0.073132934	1.103842833	0.247292613
T	F3	0.704265594	2	AM	TOP	F3	F03	63	3.325770332	3.8	0.01304245	3500	19280	3	F	AM	0.846356453	Allo	R	Allo	22	0.142090859	1.201757491	0.480467799
T	F3	0.704265594	5	AM	TOP	F3	F03	447	2.696839021	3.8	0.014691022	4200	13775	3	F	AM	0.766342142	Allo	R	Allo	22	0.062076548	1.088143662	0.209906412
T	F3	0.704265594	3	AM	TOP	F3	F03	63	3.352571686	3.8	0.012999439	4391	18598	3	F	AM	0.808995607	Allo	R	Allo	22	0.104730013	1.148708121	0.354135369
T	F4	0.602278553	5	AM	TOP	F4	F04	448	3.019945676	3.8	0.021897744	678	7236	4	F	AM	0.914329037	LM	P	LM	6	0.312050484	1.518116547	0.784595567
T	F4	0.602278553	1	AM	TOP	F4	F04	64	3.639425725	3.8	0.022438801	1047	11258	4	F	AM	0.914912637	LM	P	LM	6	0.312634084	1.519085533	0.786062925
T	F4	0.602278553	2	AM	TOP	F4	F04	64	3.503037579	3.8	0.031757283	924	6702	4	F	AM	0.878835563	LM	P	LM	6	0.276557009	1.459184555	0.695353523
T	F4	0.602278553	4	AM	TOP	F4	F04	160	3.109834838	3.8	0.016745428	889	10372	4	F	AM	0.921054968	LM	P	LM	6	0.318776415	1.529284023	0.801506728
T	F4	0.602278553	3	AM	TOP	F4	F04	64	3.589111266	3.8	0.024433236	800	10827	4	F	AM	0.931194633	LM	P	LM	6	0.32891608	1.54611953	0.827001115
T	F5	0.766302996	2	AM	TOP	F5	F05	65	3.676141932	3.8	0.016895423	106	14267	5	F	AM	0.992625061	LM	R	LM	14	0.226322065	1.29534279	0.968442304
T	F5	0.766302996	3	AM	TOP	F5	F05	65	3.675575369	3.8	0.013162053	129	20564	5	F	AM	0.993766008	LM	R	LM	14	0.227463012	1.296831688	0.973324467
T	F5	0.766302996	5	AM	TOP	F5	F05	449	2.523625232	3.8	0.012990339	351	15886	5	F	AM	0.978382706	LM	R	LM	14	0.21207971	1.27675699	0.907498627
T	F5	0.766302996	4	AM	TOP	F5	F05	161	3.512644175	3.8	0.011716148	193	20265	5	F	AM	0.990566038	LM	R	LM	14	0.224263042	1.292655833	0.959631651
T	F5	0.766302996	1	AM	TOP	F5	F05	65	3.298554993	3.8	0.014030524	163	22139	5	F	AM	0.992691238	LM	R	LM	14	0.226388243	1.29542915	0.96872548
T	F6	0.648841355	3	AM	TOP	F6	F06	66	3.525924384	3.8	0.020933607	623	13253	6	F	AM	0.955102335	LM	P	LM	22	0.30626098	1.472012115	0.872144213
T	F6	0.648841355	4	AM	TOP	F6	F06	162	3.085640686	3.8	0.021482401	526	9186	6	F	AM	0.945840198	LM	P	LM	22	0.296998843	1.457737228	0.845768279
T	F6	0.648841355	1	AM	TOP	F6	F06	66	3.626388019	3.8	0.018878213	1332	15839	6	F	AM	0.922427348	LM	P	LM	22	0.273585994	1.421653139	0.779095139
T	F6	0.648841355	5	AM	TOP	F6	F06	450	3.037142743	3.8	0.01452519	686	14227	6	F	AM	0.953999866	LM	P	LM	22	0.305158511	1.47031298	0.869004694
T	F6	0.648841355	2	AM	TOP	F6	F06	66	3.541786538	3.8	0.020388751	653	13232	6	F	AM	0.952970832	LM	P	LM	22	0.304129477	1.468727024	0.866074298
T	F7	0.671298935	1	AM	TOP	F7	F07	67	3.291829243	3.8	0.013357026	778	19807	7	F	AM	0.962205489	P3P	P	Para	6	0.290906555	1.433348751	0.885018594
T	F7	0.671298935	4	AM	TOP	F7	F07	163	3.139418291	3.8	0.015266533	872	14197	7	F	AM	0.942132856	P3P	P	Para	6	0.270833921	1.403447565	0.823952063
T	F7	0.671298935	2	AM	TOP	F7	F07	67	3.44489225	3.8	0.012225957	1088	19717	7	F	AM	0.947704879	P3P	P	Para	6	0.276405944	1.411747926	0.840903706
T	F7	0.671298935	5	AM	TOP	F7	F07	451	3.085576167	3.8	0.012330139	868	16904	7	F	AM	0.951159127	P3P	P	Para	6	0.279860192	1.416893544	0.851412489
T	F7	0.671298935	3	AM	TOP	F7	F07	67	3.349404779	3.8	0.013002276	724	19026	7	F	AM	0.963341772	P3P	P	Para	6	0.292042837	1.435041413	0.888475482
T	F8	0.661201685	4	AM	TOP	F8	F08	164	3.107003639	3.8	0.012366851	1765	17274	8	F	AM	0.907295551	Para	P	Para	14	0.246093866	1.372191831	0.726372757
T	F8	0.661201685	5	AM	TOP	F8	F08	452	3.13246189	3.8	0.009860012	1799	21186	8	F	AM	0.921731564	Para	P	Para	14	0.260529879	1.394024826	0.768982216
T	F8	0.661201685	3	AM	TOP	F8	F08	68	3.398501904	3.8	0.012539185	1701	23125	8	F	AM	0.931483123	Para	P	Para	14	0.270281437	1.408773062	0.797764999
T	F8	0.661201685	2	AM	TOP	F8	F08	68	3.357730895	3.788718896	0.012919129	973	22075	8	F	AM	0.957783756	Para	P	Para	14	0.29658207	1.448550082	0.875394173
T	F8	0.661201685	1	AM	TOP	F8	F08	68	3.45665682	3.8	0.011306521	2444	25620	8	F	AM	0.912913341	Para	P	Para	14	0.251711656	1.380688164	0.742954273
T	F9	0.736662062	2	AM	TOP	F9	F09	69	3.422408841	3.8	0.010989803	801	25117	9	F	AM	0.969094838	Para	R	Para	22	0.232432776	1.315521578	0.882640676
T	F9	0.736662062	4	AM	TOP	F9	F09	165	3.11011601	3.8	0.01094597	835	24796	9	F	AM	0.967422262	Para	R	Para	22	0.2307602	1.313251099	0.876289235
T	F9	0.736662062	3	AM	TOP	F9	F09	69	3.551702798	3.8	0.011281261	570	24296	9	F	AM	0.977077133	Para	R	Para	22	0.240415072	1.326357341	0.912952662
T	F9	0.736662062	5	AM	TOP	F9	F09	453	3.437586716	3.8	0.009939765	691	21543	9	F	AM	0.968921472	Para	R	Para	22	0.23225941	1.315286238	0.881982336
T	F9	0.736662062	1	AM	TOP	F9	F09	69	3.523061994	3.8	0.011670581	689	25950	9	F	AM	0.974135666	Para	R	Para	22	0.237473604	1.322364374	0.901782727
T	G1	0.450295276	3	AM	TOP	G1	G01	73	3.564591862	3.8	0.027741935	1694	7469	1	G	AM	0.81512605	Allo	P	Allo	7	0.364830775	1.810203426	0.663684991
T	G1	0.450295276	4	AM	TOP	G1	G01	169	2.804108466	3.8	0.016777625	3712	6029	1	G	AM	0.618930295	Allo	P	Allo	7	0.168635019	1.374498753	0.306773822
T	G1	0.450295276	2	AM	TOP	G1	G01	73	3.547113648	3.8	0.02023423	2346	9089	1	G	AM	0.794840402	Allo	P	Allo	7	0.344545127	1.765153768	0.626782182
T	G1	0.450295276	5	AM	TOP	G1	G01	457	2.81402758	3.8	0.025065597	2252	6372	1	G	AM	0.738868275	Allo	P	Allo	7	0.288572999	1.640852824	0.524960012
T	G1	0.450295276	1	AM	TOP	G1	G01	73	3.679970385	3.8	0.026928471	2042	9206	1	G	AM	0.818456615	Allo	P	Allo	7	0.368161339	1.817599826	0.669743814
T	G10	0.494164903	3	AM	TOP	G10	G10	82	3.3643837	3.8	0.023369176	363	12421	10	G	AM	0.971605131	Sym	R	Sym	7	0.477440229	1.966155683	0.943865365
T	G10	0.494164903	4	AM	TOP	G10	G10	178	2.629513464	3.252814712	0.01999836	695	7340	10	G	AM	0.913503423	Sym	R	Sym	7	0.41933852	1.848580135	0.82900242
